Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Temperature,Humidity
2024-03-12 22:52:42,16200,-748,3712,-233,-356,-413,30.70,56.80
2024-03-12 22:52:43,16232,-900,3784,-246,-363,-425,30.70,56.80
2024-03-12 22:52:44,16140,-784,3788,-245,-388,-374,,
2024-03-12 22:52:45,,,,,,,30.70,56.80
2024-03-12 22:52:46,16188,-804,3656,-244,-371,-408,30.70,56.80
2024-03-12 22:52:47,16156,-828,3788,-245,-355,-425,30.70,56.80
2024-03-12 22:52:48,16164,-780,3888,-239,-373,-408,30.70,56.80
2024-03-12 22:52:49,16068,-832,3852,-238,-366,-390,30.70,56.80
2024-03-12 22:52:50,16076,-804,3772,-236,-370,-403,30.70,56.80
2024-03-12 22:52:51,16220,-812,3716,-242,-346,-392,30.70,56.80
2024-03-12 22:52:52,16084,-844,3564,-248,-365,-382,30.70,56.80
2024-03-12 22:52:54,16180,-796,3848,-243,-358,-407,30.70,56.80
2024-03-12 22:52:55,16160,-792,3816,-253,-361,-402,30.70,56.80
2024-03-12 22:52:56,16128,-792,3908,-207,-376,-387,30.70,56.80
2024-03-12 22:52:57,16228,-756,3744,-247,-365,-413,30.70,56.80
2024-03-12 22:52:58,16208,-804,3796,-255,-359,-398,30.70,56.80
2024-03-12 22:52:59,16048,-868,3736,-232,-355,-409,30.70,56.80
2024-03-12 22:53:00,16224,-780,3680,-252,-371,-391,30.70,56.90
2024-03-12 22:53:01,16188,-820,3900,,,,,
2024-03-12 22:53:02,,,,-259,-366,-375,30.70,56.90
2024-03-12 22:53:03,16064,-796,3816,-249,-378,-390,30.70,56.90
2024-03-12 22:53:04,16120,-780,3748,-246,-371,-431,30.70,56.90
2024-03-12 22:53:05,16192,-840,4000,-229,-380,-404,30.70,56.90
2024-03-12 22:53:06,16208,-820,3684,-228,-363,-410,30.70,56.90
2024-03-12 22:53:07,16312,-876,3732,-229,-365,-412,30.70,56.90
2024-03-12 22:53:08,16208,-752,3812,-246,-404,-407,30.70,56.90
2024-03-12 22:53:09,16144,-784,3836,,,,,
2024-03-12 22:53:10,,,,-247,-391,-396,30.70,56.90
2024-03-12 22:53:11,16204,-680,3652,-258,-384,-392,30.70,56.90
2024-03-12 22:53:12,16172,-876,3768,-244,-367,-418,30.70,56.90
2024-03-12 22:53:13,16156,-848,3632,-249,-371,-395,30.70,56.90
2024-03-12 22:53:14,16232,-840,3732,-241,-394,-403,30.70,56.90
2024-03-12 22:53:15,16244,-844,3692,-237,-392,-398,30.70,56.90
2024-03-12 22:53:16,16140,-864,3724,-240,-383,-403,30.70,56.90
2024-03-12 22:53:17,16228,-772,3752,-256,-411,-412,30.70,56.90
2024-03-12 22:53:19,16064,-648,3816,-280,-353,-323,30.70,56.90
2024-03-12 22:53:20,16200,-792,3832,-244,-370,-367,30.70,56.90
2024-03-12 22:53:21,16212,-688,3808,-245,-361,-395,30.70,56.90
2024-03-12 22:53:22,16152,-776,3724,-250,-378,-393,30.70,56.90
2024-03-12 22:53:23,16132,-820,3780,-245,-353,-384,30.70,56.90
2024-03-12 22:53:24,16176,-840,3804,-269,-356,-401,30.70,56.90
2024-03-12 22:53:25,16056,-848,3716,-242,-389,-395,30.70,56.90
2024-03-12 22:53:26,16248,-748,3712,,,,,
2024-03-12 22:53:27,,,,-262,-387,-430,30.70,56.90
2024-03-12 22:53:28,16180,-848,3816,-227,-379,-409,30.70,56.90
2024-03-12 22:53:29,16184,-792,3916,-254,-354,-407,30.70,56.90
